case	finding
gdal-autotest__gcore__data__WGS_1984_Web_Mercator	crs
gdal-autotest__gcore__data__WGS_1984_Web_Mercator_Auxiliary_Sphere	crs
gdal-autotest__gcore__data__byte_bigtiff_invalid_slong8_for_stripoffsets	block-tags
gdal-autotest__gcore__data__byte_gcp	crs
gdal-autotest__gcore__data__cielab	photometric
gdal-autotest__gcore__data__citation_mixedcase	crs
gdal-autotest__gcore__data__cog_sparse_strile_arrays_zeroified_when_possible	zero-count
gdal-autotest__gcore__data__cog_strile_arrays_zeroified_when_possible	zero-count
gdal-autotest__gcore__data__contig_tiled	short-tile
gdal-autotest__gcore__data__empty_nodata	nodata-rule
gdal-autotest__gcore__data__epsg26711_3855_geotiff1_1	crs
gdal-autotest__gcore__data__epsg32631_4979_geotiff1_1	crs
gdal-autotest__gcore__data__epsg4326_3855_geotiff1_1	crs
gdal-autotest__gcore__data__epsg4326_5030_geotiff1_1	crs
gdal-autotest__gcore__data__epsg4979_geotiff1_1	crs
gdal-autotest__gcore__data__epsg_2853_with_us_feet	crs
gdal-autotest__gcore__data__float32_with_nodata_slightly_above_float_max	nodata-rule
gdal-autotest__gcore__data__gtiff__compdcrs_no_citation	crs
gdal-autotest__gcore__data__gtiff__compdcrs_without_gtcitation	crs
gdal-autotest__gcore__data__gtiff__compound_with_VerticalCitationGeoKey_only	crs
gdal-autotest__gcore__data__gtiff__esri_pcs_gcs_ellipsoid_names	crs
gdal-autotest__gcore__data__gtiff__tiff_srs_iau_2015_30110	crs
gdal-autotest__gcore__data__gtiff__tiff_with_ovr_mask_but_no_ovr_of_mask	mask
gdal-autotest__gcore__data__negative_scaley	negative-scale
gdal-autotest__gcore__data__one_strip_nobytecount	block-tags
gdal-autotest__gcore__data__projection_3856	crs
gdal-autotest__gcore__data__quad-lzw-old-style	lzw-old
gdal-autotest__gcore__data__rgbsmall_cmyk	photometric
gdal-autotest__gcore__data__separate_tiled	short-tile
gdal-autotest__gcore__data__size_of_stripbytecount_at_1_and_lower_than_stripcount	block-tags
gdal-autotest__gcore__data__size_of_stripbytecount_lower_than_stripcount	block-tags
gdal-autotest__gcore__data__spaf27_correct	crs
gdal-autotest__gcore__data__spaf27_markedcorrect	crs
gdal-autotest__gcore__data__stats_nodata_neginf_msvc	nodata-rule
gdal-autotest__gcore__data__stats_nodata_posinf_msvc	nodata-rule
gdal-autotest__gcore__data__stripbytecounts_count_not_same_as_stripoffsets_count	block-tags
gdal-autotest__gcore__data__test3_with_1mask_1bit	mask
gdal-autotest__gcore__data__test3_with_mask_1bit	mask
gdal-autotest__gcore__data__test3_with_mask_1bit_and_ovr	mask
gdal-autotest__gcore__data__test3_with_mask_8bit	mask
gdal-autotest__gcore__data__test_11555	mask
gdal-autotest__gcore__data__test_nodatavalues	nodata-values
gdal-autotest__gcore__data__test_with_mask_1bit	mask
gdal-autotest__gcore__data__test_with_mask_1bit_and_ovr	mask
gdal-autotest__gcore__data__test_with_mask_8bit	mask
gdal-autotest__gcore__data__tiff_with_subifds	subifd
gdal-autotest__gcore__data__ycbcr_11_lzw	photometric
gdal-autotest__gcore__data__ycbcr_12_lzw	photometric
gdal-autotest__gcore__data__ycbcr_21_lzw	photometric
gdal-autotest__gcore__data__ycbcr_22_lzw	photometric
gdal-autotest__gcore__data__ycbcr_41_lzw	photometric
gdal-autotest__gcore__data__ycbcr_42_lzw	photometric
gdal-autotest__gcore__data__ycbcr_42_lzw_optimized	photometric
gdal-autotest__gcore__data__ycbcr_44_lzw	photometric
gdal-autotest__gcore__data__ycbcr_44_lzw_optimized	photometric
generated-gdal__byte-nodata-fraction	nodata-rule
generated-gdal__int16-internal-mask	mask
generated-gdal__int16-internal-mask-cog	mask
generated-rasterio__uint8-dataset-mask	mask
generated-tiffcp__gray16-fillorder2	fillorder
generated-tiffcp__rgb8-lzw-fillorder2	fillorder
libtiff-pics__cramps-tile	tile-in-strip-tags
libtiff-pics__depth__flower-separated-contig-08	photometric
libtiff-pics__depth__flower-separated-planar-08	photometric
libtiff-pics__dscf0013	photometric
libtiff-pics__quad-lzw	lzw-old
libtiff-pics__quad-tile	tile-in-strip-tags
libtiff-pics__ycbcr-cat	photometric
libtiff-test__quad-lzw-compat	lzw-old
libtiff-test__test_ifd_loop_subifd	ifd-loop
libtiff-test__test_ifd_loop_to_first	ifd-loop
libtiff-test__test_ifd_loop_to_self	ifd-loop
libtiff-test__tiff_with_subifd_chain	subifd
osgeo-samples__intergraph__geoc	crs
osgeo-samples__made_up__bogota	crs
osgeo-samples__made_up__ilatlon_float	crs
osgeo-samples__made_up__ntf_nord	crs
osgeo-samples__other__erdas_spnad83	crs
osgeo-samples__pci_eg__meter	crs
osgeo-samples__pci_eg__spcs27	crs
osgeo-samples__pci_eg__spif83	crs
